ts,symbol,oi,oi_usd,price,funding
2026-07-30T03:20:10+00:00,BNB,4352435.0,2502214881.5,574.9,0.000108
2026-07-30T03:20:10+00:00,XRP,54552576.0,58698571.776,1.076,0.0001
2026-07-30T03:20:10+00:00,DOGE,5434962.0,382566.97517999995,0.07039,6.3e-05
2026-07-30T03:20:10+00:00,TRX,1095311.0,356578.49605,0.32555,-0.000163
2026-07-30T03:20:10+00:00,XLM,4557905.0,785190.29435,0.17227,-5.8e-05
2026-07-30T03:20:10+00:00,LTC,18642590.0,846932863.7,45.43,2e-05
2026-07-30T03:35:12+00:00,SOL,22891023.0,1688899676.94,73.78,7.1e-05
2026-07-30T03:35:12+00:00,ETH,103772145.0,198374983267.80002,1911.64,6.1e-05
2026-07-30T03:35:12+00:00,ADA,61930380.0,10069879.787999999,0.1626,2.4e-05
2026-07-30T03:35:12+00:00,NEAR,7026976.0,11453970.879999999,1.63,8e-06
2026-07-30T03:35:12+00:00,BCH,8476585.0,1785762161.9499998,210.67,-4e-06
2026-07-30T03:35:12+00:00,ICP,238831551.0,497247289.182,2.082,-0.000104
2026-07-30T03:35:12+00:00,BNB,4334029.0,2492500077.9,575.1,0.000111
2026-07-30T03:35:12+00:00,XRP,55038042.0,59231940.800400004,1.0762,0.0001
2026-07-30T03:35:12+00:00,DOGE,5428547.0,381518.28316,0.07028,6.8e-05
2026-07-30T03:35:12+00:00,TRX,1089479.0,354745.25719000003,0.32561,-0.000166
2026-07-30T03:35:12+00:00,XLM,4545012.0,782878.3169999999,0.17225,-6.6e-05
2026-07-30T03:35:12+00:00,LTC,18639085.0,847705585.8,45.48,2e-05
2026-07-30T03:50:13+00:00,SOL,22982945.0,1694072875.9499998,73.71,7.4e-05
2026-07-30T03:50:13+00:00,ETH,104041316.0,198837520660.24002,1911.14,6.6e-05
2026-07-30T03:50:13+00:00,ADA,62038307.0,10081224.887500001,0.1625,3.9e-05
2026-07-30T03:50:13+00:00,NEAR,7009510.0,11439520.319999998,1.632,1e-05
2026-07-30T03:50:13+00:00,BCH,8476987.0,1786270700.64,210.72,-2e-06
2026-07-30T03:50:13+00:00,ICP,239602101.0,499330778.484,2.084,-0.000106
2026-07-30T03:50:13+00:00,BNB,4352221.0,2499045298.2000003,574.2,0.000113
2026-07-30T03:50:13+00:00,XRP,55141136.0,59304291.76799999,1.0755,0.0001
2026-07-30T03:50:13+00:00,DOGE,5515271.0,387337.48233,0.07023,6.6e-05
2026-07-30T03:50:13+00:00,TRX,1089474.0,354612.89226,0.32549,-0.000178
2026-07-30T03:50:13+00:00,XLM,4539650.0,782090.902,0.17228,-6.2e-05
2026-07-30T03:50:13+00:00,LTC,18637441.0,847071693.45,45.45,1.7e-05
2026-07-30T04:05:14+00:00,SOL,23042194.0,1696827166.16,73.64,7.7e-05
2026-07-30T04:05:14+00:00,ETH,103868252.0,198145309610.32,1907.66,7e-05
2026-07-30T04:05:14+00:00,ADA,62061946.0,10085066.225,0.1625,4.6e-05
2026-07-30T04:05:14+00:00,NEAR,7008735.0,11424238.049999999,1.63,9e-06
2026-07-30T04:05:14+00:00,BCH,8477505.0,1784853902.7,210.54,-2e-06
2026-07-30T04:05:14+00:00,ICP,239710784.0,499317563.072,2.083,-0.000103
